agent_name,size,dirt_rate,seed,repetition,initial_dirt,final_dirt,cells_cleaned,actions_taken,performance,success,is_finished,runtime_sec,recording
random,2x2,0.1,111,1,0,0,0,0,0.0,True,True,0.305,game_2025-08-25_17-42-35_julianfernandezrandomagent.json
simple_reflex,2x2,0.1,111,1,0,0,0,0,0.0,True,True,0.302,game_2025-08-25_17-42-35_julianfernandezrandomagent.json
random,2x2,0.1,222,1,0,0,0,0,0.0,True,True,0.303,game_2025-08-25_17-42-35_julianfernandezrandomagent.json
simple_reflex,2x2,0.1,222,1,0,0,0,0,0.0,True,True,0.302,game_2025-08-25_17-42-36_julianfernandezrandomagent.json
random,2x2,0.1,333,1,0,0,0,0,0.0,True,True,0.304,game_2025-08-25_17-42-36_julianfernandezrandomagent.json
simple_reflex,2x2,0.1,333,1,0,0,0,0,0.0,True,True,0.303,game_2025-08-25_17-42-36_julianfernandezrandomagent.json
random,2x2,0.1,444,1,0,0,0,0,0.0,True,True,0.303,game_2025-08-25_17-42-37_julianfernandezrandomagent.json
simple_reflex,2x2,0.1,444,1,0,0,0,0,0.0,True,True,0.305,game_2025-08-25_17-42-37_julianfernandezrandomagent.json
random,2x2,0.1,555,1,0,0,0,0,0.0,True,True,0.303,game_2025-08-25_17-42-37_julianfernandezrandomagent.json
simple_reflex,2x2,0.1,555,1,0,0,0,0,0.0,True,True,0.303,game_2025-08-25_17-42-38_julianfernandezrandomagent.json
random,2x2,0.1,666,1,0,0,0,0,0.0,True,True,0.301,game_2025-08-25_17-42-38_julianfernandezrandomagent.json
simple_reflex,2x2,0.1,666,1,0,0,0,0,0.0,True,True,0.303,game_2025-08-25_17-42-38_julianfernandezrandomagent.json
random,2x2,0.1,777,1,0,0,0,0,0.0,True,True,0.303,game_2025-08-25_17-42-38_julianfernandezrandomagent.json
simple_reflex,2x2,0.1,777,1,0,0,0,0,0.0,True,True,0.303,game_2025-08-25_17-42-39_julianfernandezrandomagent.json
random,2x2,0.1,888,1,0,0,0,0,0.0,True,True,0.308,game_2025-08-25_17-42-39_julianfernandezrandomagent.json
simple_reflex,2x2,0.1,888,1,0,0,0,0,0.0,True,True,0.302,game_2025-08-25_17-42-39_julianfernandezrandomagent.json
random,2x2,0.1,999,1,0,0,0,0,0.0,True,True,0.318,game_2025-08-25_17-42-40_julianfernandezrandomagent.json
