algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found,scenario
RANDOM,1,270,0,0,0.0019500255584716797,False,scenario1
BFS,1,3009,64,64,0.005182743072509766,True,scenario1
DFS,1,8462,86,86,0.026485443115234375,True,scenario1
DLS50,1,944,0,0,0.0014510154724121094,False,scenario1
DLS75,1,2274,0,0,0.0039899349212646484,False,scenario1
DLS100,1,3640,0,0,0.007188558578491211,False,scenario1
UCS,1,3024,64,64,0.008151054382324219,True,scenario1
A*,1,3024,64,64,0.007922172546386719,True,scenario1
RANDOM,1,140,0,0,0.0016598701477050781,False,scenario2
BFS,1,3009,64,496,0.004541873931884766,True,scenario2
DFS,1,8462,86,680,0.019621849060058594,True,scenario2
DLS50,1,944,0,0,0.001638174057006836,False,scenario2
DLS75,1,2274,0,0,0.004224538803100586,False,scenario2
DLS100,1,3640,0,0,0.006896018981933594,False,scenario2
UCS,1,4642,64,496,0.012819051742553711,True,scenario2
A*,1,593,64,496,0.0016632080078125,True,scenario2
RANDOM,2,204,0,0,0.0017566680908203125,False,scenario1
BFS,2,2800,60,60,0.004233837127685547,True,scenario1
DFS,2,8115,68,68,0.01796579360961914,True,scenario1
DLS50,2,1210,0,0,0.0019676685333251953,False,scenario1
DLS75,2,2040,0,0,0.003654956817626953,False,scenario1
DLS100,2,1035,78,78,0.0015621185302734375,True,scenario1
UCS,2,2742,60,60,0.007822751998901367,True,scenario1
A*,2,2742,60,60,0.0070607662200927734,True,scenario1
RANDOM,2,329,0,0,0.0017445087432861328,False,scenario2
BFS,2,2800,60,546,0.004040956497192383,True,scenario2
DFS,2,8115,68,608,0.019562244415283203,True,scenario2
DLS50,2,1210,0,0,0.001958131790161133,False,scenario2
DLS75,2,2040,0,0,0.0035605430603027344,False,scenario2
DLS100,2,1035,78,582,0.0017037391662597656,True,scenario2
UCS,2,5593,60,546,0.01865530014038086,True,scenario2
A*,2,312,60,546,0.0009374618530273438,True,scenario2
RANDOM,3,347,0,0,0.00174713134765625,False,scenario1
BFS,3,2960,41,41,0.0047757625579833984,True,scenario1
DFS,3,2532,179,179,0.00537872314453125,True,scenario1
DLS50,3,794,0,0,0.0012745857238769531,False,scenario1
DLS75,3,2238,0,0,0.0037839412689208984,False,scenario1
DLS100,3,2431,59,59,0.004410743713378906,True,scenario1
UCS,3,2988,41,41,0.008366584777832031,True,scenario1
A*,3,2988,41,41,0.007874488830566406,True,scenario1
RANDOM,3,428,0,0,0.0017271041870117188,False,scenario2
BFS,3,2960,41,302,0.00420069694519043,True,scenario2
DFS,3,2532,179,1088,0.005100727081298828,True,scenario2
DLS50,3,794,0,0,0.0013022422790527344,False,scenario2
DLS75,3,2238,0,0,0.0038111209869384766,False,scenario2
DLS100,3,2431,59,320,0.0043487548828125,True,scenario2
UCS,3,5081,41,302,0.016302108764648438,True,scenario2
A*,3,352,41,302,0.001033782958984375,True,scenario2
RANDOM,4,330,0,0,0.001665353775024414,False,scenario1
BFS,4,6404,80,80,0.010616779327392578,True,scenario1
DFS,4,3338,322,322,0.006485462188720703,True,scenario1
DLS50,4,1119,0,0,0.0017614364624023438,False,scenario1
DLS75,4,1538,0,0,0.0024263858795166016,False,scenario1
DLS100,4,2582,0,0,0.004530191421508789,False,scenario1
UCS,4,6404,80,80,0.019060611724853516,True,scenario1
A*,4,6404,80,80,0.020316123962402344,True,scenario1
RANDOM,4,398,0,0,0.0017232894897460938,False,scenario2
BFS,4,6404,80,305,0.010054588317871094,True,scenario2
DFS,4,3338,322,2059,0.006620645523071289,True,scenario2
DLS50,4,1119,0,0,0.0016963481903076172,False,scenario2
DLS75,4,1538,0,0,0.0024569034576416016,False,scenario2
DLS100,4,2582,0,0,0.004370927810668945,False,scenario2
UCS,4,4926,80,305,0.014539241790771484,True,scenario2
A*,4,1181,80,305,0.0031991004943847656,True,scenario2
RANDOM,5,345,0,0,0.001623392105102539,False,scenario1
BFS,5,1688,38,38,0.0023336410522460938,True,scenario1
DFS,5,3228,214,214,0.0071032047271728516,True,scenario1
DLS50,5,602,0,0,0.0009593963623046875,False,scenario1
DLS75,5,870,0,0,0.001455068588256836,False,scenario1
DLS100,5,1194,0,0,0.0019834041595458984,False,scenario1
UCS,5,1669,38,38,0.003844738006591797,True,scenario1
A*,5,1669,38,38,0.003923892974853516,True,scenario1
RANDOM,5,239,0,0,0.0016133785247802734,False,scenario2
BFS,5,1688,38,191,0.002306699752807617,True,scenario2
DFS,5,3228,214,1357,0.0062677860260009766,True,scenario2
DLS50,5,602,0,0,0.0009720325469970703,False,scenario2
DLS75,5,870,0,0,0.0014188289642333984,False,scenario2
DLS100,5,1194,0,0,0.001981019973754883,False,scenario2
UCS,5,2173,38,191,0.005386829376220703,True,scenario2
A*,5,348,38,191,0.0009045600891113281,True,scenario2
RANDOM,6,240,0,0,0.0016193389892578125,False,scenario1
BFS,6,5438,85,85,0.00802755355834961,True,scenario1
DFS,6,6310,129,129,0.014551162719726562,True,scenario1
DLS50,6,442,0,0,0.0009214878082275391,False,scenario1
DLS75,6,1016,0,0,0.0017478466033935547,False,scenario1
DLS100,6,1039,0,0,0.00173187255859375,False,scenario1
UCS,6,5454,85,85,0.01734781265258789,True,scenario1
A*,6,5454,85,85,0.017562150955200195,True,scenario1
RANDOM,6,255,0,0,0.0029616355895996094,False,scenario2
BFS,6,5438,85,292,0.013402700424194336,True,scenario2
DFS,6,6310,129,678,0.014485597610473633,True,scenario2
DLS50,6,442,0,0,0.0008597373962402344,False,scenario2
DLS75,6,1016,0,0,0.0018939971923828125,False,scenario2
DLS100,6,1039,0,0,0.0016987323760986328,False,scenario2
UCS,6,4464,85,292,0.012535810470581055,True,scenario2
A*,6,1175,85,292,0.003149747848510742,True,scenario2
RANDOM,7,358,0,0,0.0015552043914794922,False,scenario1
BFS,7,2108,34,34,0.0027484893798828125,True,scenario1
DFS,7,9039,216,216,0.02060222625732422,True,scenario1
DLS50,7,1223,0,0,0.0019383430480957031,False,scenario1
DLS75,7,2038,0,0,0.0037221908569335938,False,scenario1
DLS100,7,2234,78,78,0.003682851791381836,True,scenario1
UCS,7,2122,34,34,0.005243062973022461,True,scenario1
A*,7,2122,34,34,0.0051021575927734375,True,scenario1
RANDOM,7,366,0,0,0.0016548633575439453,False,scenario2
BFS,7,2108,34,151,0.002810955047607422,True,scenario2
DFS,7,9039,216,1305,0.021662473678588867,True,scenario2
DLS50,7,1223,0,0,0.00196075439453125,False,scenario2
DLS75,7,2038,0,0,0.003841400146484375,False,scenario2
DLS100,7,2234,78,483,0.0036983489990234375,True,scenario2
UCS,7,2316,34,151,0.006298542022705078,True,scenario2
A*,7,288,34,151,0.0007581710815429688,True,scenario2
RANDOM,8,338,0,0,0.0016446113586425781,False,scenario1
BFS,8,5842,89,89,0.008557319641113281,True,scenario1
DFS,8,4981,331,331,0.011806011199951172,True,scenario1
DLS50,8,1327,0,0,0.0022554397583007812,False,scenario1
DLS75,8,1882,0,0,0.0031685829162597656,False,scenario1
DLS100,8,2531,0,0,0.0042345523834228516,False,scenario1
UCS,8,5842,89,89,0.018285751342773438,True,scenario1
A*,8,5842,89,89,0.017638206481933594,True,scenario1
RANDOM,8,230,0,0,0.0016055107116699219,False,scenario2
BFS,8,5842,89,431,0.008881092071533203,True,scenario2
DFS,8,4981,331,1915,0.011780977249145508,True,scenario2
DLS50,8,1327,0,0,0.0022885799407958984,False,scenario2
DLS75,8,1882,0,0,0.003103017807006836,False,scenario2
DLS100,8,2531,0,0,0.004240751266479492,False,scenario2
UCS,8,7027,89,431,0.027929306030273438,True,scenario2
A*,8,1612,89,431,0.005884647369384766,True,scenario2
RANDOM,9,200,0,0,0.0016930103302001953,False,scenario1
BFS,9,2372,63,63,0.003220081329345703,True,scenario1
DFS,9,6400,131,131,0.01500248908996582,True,scenario1
DLS50,9,407,0,0,0.0006992816925048828,False,scenario1
