algorithm_name,env_n,size,best_solution,H,states,time
random,0,4,"[1, 3, 0, 2]",0,429,0.0013737678527832031
random,1,4,"[2, 0, 3, 1]",0,95,0.00030922889709472656
random,2,4,"[2, 0, 3, 1]",0,371,0.0011053085327148438
random,3,4,"[1, 3, 0, 2]",0,616,0.0018367767333984375
random,4,4,"[2, 0, 3, 1]",0,1,5.4836273193359375e-06
random,5,4,"[1, 3, 0, 2]",0,7,2.4318695068359375e-05
random,6,4,"[2, 0, 3, 1]",0,79,0.00024008750915527344
random,7,4,"[1, 3, 0, 2]",0,149,0.0004456043243408203
random,8,4,"[1, 3, 0, 2]",0,40,0.00012063980102539062
random,9,4,"[1, 3, 0, 2]",0,443,0.0013203620910644531
random,10,4,"[1, 3, 0, 2]",0,117,0.00034689903259277344
random,11,4,"[2, 0, 3, 1]",0,68,0.000209808349609375
random,12,4,"[2, 0, 3, 1]",0,62,0.00018334388732910156
random,13,4,"[1, 3, 0, 2]",0,136,0.00040268898010253906
random,14,4,"[1, 3, 0, 2]",0,4,1.4066696166992188e-05
random,15,4,"[1, 3, 0, 2]",0,75,0.0002219676971435547
random,16,4,"[1, 3, 0, 2]",0,65,0.00020122528076171875
random,17,4,"[2, 0, 3, 1]",0,249,0.0007419586181640625
random,18,4,"[1, 3, 0, 2]",0,267,0.0007963180541992188
random,19,4,"[2, 0, 3, 1]",0,49,0.00014591217041015625
random,20,4,"[2, 0, 3, 1]",0,1,5.4836273193359375e-06
random,21,4,"[2, 0, 3, 1]",0,46,0.00014281272888183594
random,22,4,"[2, 0, 3, 1]",0,172,0.0005578994750976562
random,23,4,"[1, 3, 0, 2]",0,1,7.152557373046875e-06
random,24,4,"[1, 3, 0, 2]",0,36,0.00011086463928222656
random,25,4,"[1, 3, 0, 2]",0,158,0.00048732757568359375
random,26,4,"[2, 0, 3, 1]",0,68,0.00020360946655273438
random,27,4,"[2, 0, 3, 1]",0,258,0.0007724761962890625
random,28,4,"[1, 3, 0, 2]",0,84,0.0002522468566894531
random,29,4,"[2, 0, 3, 1]",0,47,0.00014257431030273438
HC,0,4,"[2, 0, 1, 3]",1,13,3.4809112548828125e-05
HC,1,4,"[3, 0, 2, 1]",1,13,3.0040740966796875e-05
HC,2,4,"[2, 1, 3, 0]",1,37,7.843971252441406e-05
HC,3,4,"[3, 0, 2, 1]",1,13,2.8133392333984375e-05
HC,4,4,"[2, 0, 3, 1]",0,1,4.76837158203125e-06
HC,5,4,"[0, 1, 3, 2]",2,13,2.7894973754882812e-05
HC,6,4,"[0, 3, 1, 2]",1,49,0.0001995563507080078
HC,7,4,"[3, 1, 0, 2]",1,13,3.123283386230469e-05
HC,8,4,"[0, 2, 3, 1]",1,13,2.9802322387695312e-05
HC,9,4,"[1, 0, 2, 3]",2,37,8.249282836914062e-05
HC,10,4,"[0, 3, 1, 2]",1,49,0.00010132789611816406
HC,11,4,"[1, 0, 2, 3]",2,37,7.700920104980469e-05
HC,12,4,"[0, 2, 1, 3]",2,13,2.9087066650390625e-05
HC,13,4,"[3, 1, 0, 2]",1,37,7.700920104980469e-05
HC,14,4,"[1, 3, 2, 0]",1,13,2.9802322387695312e-05
HC,15,4,"[3, 2, 0, 1]",2,13,2.8848648071289062e-05
HC,16,4,"[0, 3, 1, 2]",1,13,2.8371810913085938e-05
HC,17,4,"[0, 2, 1, 3]",2,13,2.86102294921875e-05
HC,18,4,"[1, 3, 0, 2]",0,37,7.677078247070312e-05
HC,19,4,"[1, 3, 2, 0]",1,13,2.9802322387695312e-05
HC,20,4,"[2, 0, 3, 1]",0,1,5.7220458984375e-06
HC,21,4,"[0, 2, 3, 1]",1,13,2.8848648071289062e-05
HC,22,4,"[3, 2, 0, 1]",2,13,2.86102294921875e-05
HC,23,4,"[1, 3, 0, 2]",0,1,5.0067901611328125e-06
