algorithm,seed,n,solution_found,solution,nodes_explored,time_taken,valid_solution
backtrack,0,4,True,"[1, 3, 0, 2]",9,9.679794311523438e-05,True
backtrack,1,4,True,"[1, 3, 0, 2]",9,7.271766662597656e-05,True
backtrack,2,4,True,"[1, 3, 0, 2]",9,0.00011515617370605469,True
backtrack,3,4,True,"[1, 3, 0, 2]",9,0.00010132789611816406,True
backtrack,4,4,True,"[1, 3, 0, 2]",9,6.985664367675781e-05,True
backtrack,5,4,True,"[1, 3, 0, 2]",9,8.606910705566406e-05,True
backtrack,6,4,True,"[1, 3, 0, 2]",9,0.00018787384033203125,True
backtrack,7,4,True,"[1, 3, 0, 2]",9,0.00010538101196289062,True
backtrack,8,4,True,"[1, 3, 0, 2]",9,3.504753112792969e-05,True
backtrack,9,4,True,"[1, 3, 0, 2]",9,3.361701965332031e-05,True
backtrack,10,4,True,"[1, 3, 0, 2]",9,5.53131103515625e-05,True
backtrack,11,4,True,"[1, 3, 0, 2]",9,3.5762786865234375e-05,True
backtrack,12,4,True,"[1, 3, 0, 2]",9,4.506111145019531e-05,True
backtrack,13,4,True,"[1, 3, 0, 2]",9,4.1961669921875e-05,True
backtrack,14,4,True,"[1, 3, 0, 2]",9,3.814697265625e-05,True
backtrack,15,4,True,"[1, 3, 0, 2]",9,4.410743713378906e-05,True
backtrack,16,4,True,"[1, 3, 0, 2]",9,5.412101745605469e-05,True
backtrack,17,4,True,"[1, 3, 0, 2]",9,6.818771362304688e-05,True
backtrack,18,4,True,"[1, 3, 0, 2]",9,6.604194641113281e-05,True
backtrack,19,4,True,"[1, 3, 0, 2]",9,7.224082946777344e-05,True
backtrack,20,4,True,"[1, 3, 0, 2]",9,3.695487976074219e-05,True
backtrack,21,4,True,"[1, 3, 0, 2]",9,4.4345855712890625e-05,True
backtrack,22,4,True,"[1, 3, 0, 2]",9,4.673004150390625e-05,True
backtrack,23,4,True,"[1, 3, 0, 2]",9,3.933906555175781e-05,True
backtrack,24,4,True,"[1, 3, 0, 2]",9,4.315376281738281e-05,True
backtrack,25,4,True,"[1, 3, 0, 2]",9,3.743171691894531e-05,True
