fold,auc,accuracy,sensitivity,specificity,precision
1,0.5,0.8907168037602821,0,1,NA
2,0.2696234650096168,0.8777908343125734,0.023333333333333334,0.991566799822459,0.2692307692307692
3,0.5,0.9012925969447708,0,1,NA
4,0.5,0.8840579710144928,0,1,NA
5,0.5,0.8789659224441834,0,1,NA
6,0.5,0.8938503721112416,0,1,NA
7,0.5,0.890325107716412,0,1,NA
8,0.5,0.8844496670583627,0,1,NA
9,0.28148529786032195,0.8860164512338425,0.02112676056338028,0.9942706037902159,0.3157894736842105
10,0.30035820761022203,0.8832288401253918,0.04406779661016949,0.9929109437306158,0.4482758620689655
